SOFI_Num,Indicator,Code,Domain,Weight,Direction,Unit,Vietnam_DataPoints,Vietnam_YearRange,Vietnam_LatestValue,Vietnam_LatestNorm,Philippines_DataPoints,Philippines_YearRange,Philippines_LatestValue,Philippines_LatestNorm
1,GNI per capita,NY.GNP.PCAP.PP.KD,Economic,62.3,Higher is better,PPP int$,24,2000-2023,13215.93,1.0,24,2000-2023,10954.71,0.756
2,Income Inequality,SI.DST.10TH.10,Economic,66.6,Lower is better,% top 10,22,2002-2023,28.1,0.8807,24,2000-2023,31.6,0.5596
3,Unemployment,SL.UEM.TOTL.ZS,Economic,62.6,Lower is better,%,24,2000-2023,1.64,0.7884,24,2000-2023,2.2,0.6066
4,Poverty Rate,SI.POV.DDAY,Economic,63.61,Lower is better,% at $2.15/day,22,2002-2023,1.6,0.9929,24,2000-2023,5.3,0.9048
6,FDI Inflows,BX.KLT.DINV.WD.GD.ZS,Economic,54.1,Higher is better,% of GDP,24,2000-2023,4.26,0.4099,24,2000-2023,2.04,0.1671
7,R&D Expenditure,GB.XPD.RSDV.GD.ZS,Economic,65.0,Higher is better,% of GDP,19,2002-2023,0.42,1.0,22,2002-2023,0.32,0.679
8,Population Growth,SP.POP.GROW,Health,65.1,Lower is better,annual %,24,2000-2023,0.67,1.0,24,2000-2023,0.81,0.9189
9,Life Expectancy,SP.DYN.LE00.IN,Health,61.9,Higher is better,years,24,2000-2023,74.59,0.9087,24,2000-2023,69.83,0.3627
10,Infant Mortality,SP.DYN.IMRT.IN,Health,61.9,Lower is better,"per 1,000",24,2000-2023,14.0,1.0,24,2000-2023,22.1,0.391
11,Undernourishment,SN.ITK.DEFC.ZS,Health,63.2,Lower is better,%,23,2001-2023,5.3,0.8606,23,2001-2023,3.0,1.0
12,Health Expenditure,SH.XPD.CHEX.PC.CD,Health,61.4,Higher is better,US$/capita,24,2000-2023,197.19,0.9412,24,2000-2023,194.05,0.9244
13,Physicians,SH.MED.PHYS.ZS,Health,58.5,Higher is better,"per 1,000",23,2001-2023,1.11,0.8127,24,2000-2023,0.79,0.3588
14,Drinking Water,SH.H2O.SMDW.ZS,Environment,73.0,Higher is better,%,24,2000-2023,58.07,1.0,24,2000-2023,48.24,0.3986
15,Freshwater per Capita,ER.H2O.INTR.PC,Environment,66.7,Higher is better,m³/capita,24,2000-2023,3605.71,0.0,24,2000-2023,4203.07,0.2479
17,Forest Area,AG.LND.FRST.ZS,Environment,65.0,Higher is better,% of land,24,2000-2023,47.45,1.0,24,2000-2023,24.46,0.0621
18,CO2 per Capita,OWID.CO2.PC,Environment,76.4,Lower is better,tonnes/person,24,2000-2023,3.46,0.0784,24,2000-2023,1.4,0.7658
19,Energy Intensity,OWID.ENERGY.GDP,Environment,65.8,Lower is better,kWh per $,23,2000-2022,1.55,0.0919,23,2000-2022,0.56,1.0
21,Literacy Rate,SE.ADT.LITR.ZS,Social,71.9,Higher is better,%,17,2000-2023,96.13,0.7184,24,2000-2023,98.47,1.0
22,School Enrollment,SE.SEC.ENRR,Social,69.9,Higher is better,%,9,2015-2023,93.41,0.9484,23,2001-2023,91.55,0.871
23,Patent Applications,IP.PAT.RESD,Social,55.6,Higher is better,count,24,2000-2023,1066.0,1.0,24,2000-2023,490.0,0.4419
28,Women in Parliament,SG.GEN.PARL.ZS,Social,66.1,Higher is better,%,24,2000-2023,30.26,1.0,24,2000-2023,27.33,0.8458
29,Internet Users,IT.NET.USER.ZS,Social,63.5,Higher is better,%,24,2000-2023,78.08,0.9319,24,2000-2023,83.77,1.0
