Year,Country,Country_Code,SOFI_Score,Indicators_Used,Economic_Score,Health_Score,Environment_Score,Social_Score
2000,Vietnam,VNM,0.4272,16,0.3259,0.4669,0.5875,0.1994
2001,Vietnam,VNM,0.4301,18,0.2721,0.3432,0.5782,0.2188
2002,Vietnam,VNM,0.5308,21,0.3433,0.3805,0.5743,0.2544
2003,Vietnam,VNM,0.5581,21,0.3651,0.4186,0.5743,0.2745
2004,Vietnam,VNM,0.5762,21,0.4022,0.4442,0.5469,0.2912
2005,Vietnam,VNM,0.6064,21,0.436,0.4693,0.5482,0.3224
2006,Vietnam,VNM,0.6171,20,0.4697,0.4476,0.5816,0.4184
2007,Vietnam,VNM,0.6434,20,0.5616,0.4295,0.5825,0.4104
2008,Vietnam,VNM,0.6411,19,0.6775,0.4547,0.5462,0.419
2009,Vietnam,VNM,0.6901,20,0.6477,0.5164,0.5507,0.434
2010,Vietnam,VNM,0.7214,20,0.6706,0.5833,0.5274,0.4637
2011,Vietnam,VNM,0.749,21,0.602,0.6211,0.5148,0.4646
2012,Vietnam,VNM,0.8029,21,0.6814,0.6498,0.5328,0.4944
2013,Vietnam,VNM,0.8211,21,0.7185,0.6473,0.5352,0.5122
2014,Vietnam,VNM,0.8327,21,0.7511,0.6575,0.5112,0.5274
2015,Vietnam,VNM,0.8546,21,0.7537,0.6663,0.4817,0.6417
2016,Vietnam,VNM,0.8891,21,0.7811,0.6875,0.4851,0.702
2017,Vietnam,VNM,0.916,21,0.8059,0.7156,0.4826,0.7345
2018,Vietnam,VNM,0.9559,21,0.8538,0.7567,0.4538,0.8009
2019,Vietnam,VNM,1.0,22,0.8284,0.8123,0.3863,0.7982
2020,Vietnam,VNM,0.9975,22,0.801,0.8002,0.3802,0.842
2021,Vietnam,VNM,1.0474,22,0.7819,0.8583,0.4329,0.8958
2022,Vietnam,VNM,1.0957,22,0.8468,0.8995,0.4406,0.915
2023,Vietnam,VNM,1.0986,21,0.8569,0.922,0.5122,0.9138
2000,Philippines,PHL,0.4123,19,0.1556,0.2151,0.5339,0.1124
2001,Philippines,PHL,0.4553,21,0.1556,0.2096,0.5361,0.1555
2002,Philippines,PHL,0.5015,22,0.1757,0.2113,0.5471,0.2004
2003,Philippines,PHL,0.5295,22,0.1634,0.2604,0.5564,0.2172
2004,Philippines,PHL,0.5282,22,0.1597,0.2518,0.5596,0.2245
2005,Philippines,PHL,0.5632,22,0.1572,0.3098,0.5601,0.2463
2006,Philippines,PHL,0.5838,22,0.1524,0.3418,0.5728,0.2522
2007,Philippines,PHL,0.6342,22,0.1939,0.3625,0.5673,0.3099
2008,Philippines,PHL,0.6435,22,0.1718,0.3803,0.558,0.3473
2009,Philippines,PHL,0.6688,22,0.1815,0.3886,0.5538,0.3929
2010,Philippines,PHL,0.6269,22,0.1926,0.228,0.5481,0.4668
2011,Philippines,PHL,0.653,22,0.2022,0.2609,0.5471,0.483
2012,Philippines,PHL,0.6743,22,0.2256,0.2886,0.5445,0.4796
2013,Philippines,PHL,0.7206,22,0.2567,0.3153,0.5365,0.5348
2014,Philippines,PHL,0.7683,22,0.2904,0.3418,0.5324,0.5867
2015,Philippines,PHL,0.8282,22,0.3483,0.3889,0.521,0.6251
2016,Philippines,PHL,0.8918,22,0.4351,0.429,0.5126,0.644
2017,Philippines,PHL,0.928,22,0.5061,0.4705,0.501,0.6162
2018,Philippines,PHL,0.974,22,0.5678,0.4961,0.5001,0.6295
2019,Philippines,PHL,1.0,22,0.5774,0.5244,0.5021,0.6474
2020,Philippines,PHL,1.0482,22,0.5377,0.5711,0.51,0.749
2021,Philippines,PHL,1.0472,22,0.5149,0.5834,0.5055,0.7634
2022,Philippines,PHL,1.1319,22,0.5757,0.6446,0.5032,0.8331
2023,Philippines,PHL,1.0858,21,0.6228,0.6651,0.3848,0.8464
